Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
2019-01-02 06:00:00,50,64.6,4.4
2019-01-02 07:00:00,51,68.0,4.4
2019-01-02 08:00:00,51,68.0,4.4
2019-01-02 09:00:00,49,61.3,4.4
2019-01-02 09:50:00,46,52.1,4.4
2019-01-02 10:00:00,48,58.1,4.4
2019-01-02 10:10:00,48,58.1,4.3
2019-01-02 10:20:00,47,55.1,4.4
2019-01-02 10:30:00,47,55.1,4.4
2019-01-02 10:40:00,48,58.1,4.4
2019-01-02 10:50:00,48,58.1,4.4
2019-01-02 11:00:00,47,55.1,4.4
2019-01-02 11:10:00,48,58.1,4.4
2019-01-02 11:20:00,49,61.3,4.4
2019-01-02 11:30:00,47,55.1,4.4
2019-01-02 11:40:00,49,61.3,4.4
2019-01-02 11:50:00,49,61.3,4.4
2019-01-02 12:00:00,50,64.6,4.4
2019-01-02 12:10:00,49,61.3,4.4
2019-01-02 12:20:00,50,64.6,4.5
2019-01-02 12:30:00,51,68.0,4.5
